rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed,train/Main_losses,train/critic_los,train/Beta,train/actor_loss,train/RL_loss,train/loss,train/critic_loss,train/learning_rate,train/MSE_losses,train/n_updates,train/MSE_loss
-952.360312,800,4,200.0,4984,0,,,,,,,,,,,
-992.780623,1600,8,200.0,4989,0,,,,,,,,,,,
-1126.6239059166667,2400,12,200.0,5005,0,,,,,,,,,,,
-1180.9746416875,3200,16,200.0,5042,0,,,,,,,,,,,
-1165.95653045,4000,20,200.0,5064,0,,,,,,,,,,,
-1204.0279547500002,4800,24,200.0,5081,0,,,,,,,,,,,
-1208.7864628928571,5600,28,200.0,5094,1,,,,,,,,,,,
-1210.020358125,6400,32,200.0,5102,1,,,,,,,,,,,
-1196.1788213333334,7200,36,200.0,5112,1,,,,,,,,,,,
-1208.6961271,8000,40,200.0,5118,1,,,,,,,,,,,
-1208.0174453636364,8800,44,200.0,5122,1,,,,,,,,,,,
-1216.6118757291667,9600,48,200.0,5125,1,,,,,,,,,,,
-1219.9832923653846,10400,52,200.0,3148,3,7.328388880491257,0.6234766244888306,0.0,7.328388880491257,8.499588012695312,8.499588012695312,5.1361923038959505,0.001,5.939573967456818,200,6.802460670471191
-1243.9147105714287,11200,56,200.0,1358,8,17.15230050086975,0.051164425909519196,0.0,17.15230050086975,18.963642120361328,18.963642120361328,0.06131455583497882,0.001,6.8075461149215695,1000,6.795630931854248
-1255.8312745333337,12000,60,200.0,910,13,27.58317663192749,0.1963518261909485,0.0,27.58317663192749,30.72849464416504,30.72849464416504,0.11895078349858522,0.001,6.605987763404846,1800,6.676915645599365
-1248.451938375,12800,64,200.0,706,18,36.94021507263184,0.2515026330947876,0.0,36.94021507263184,38.55406188964844,38.55406188964844,0.20674989156425,0.001,5.97115204334259,2600,5.840713977813721
-1211.9444322058823,13600,68,200.0,589,23,44.81637802124023,0.33062463998794556,0.0,44.81637802124023,49.62697982788086,49.62697982788086,0.255171330422163,0.001,5.2889607143402095,3400,5.394595146179199
-1167.9162013750001,14400,72,200.0,514,27,51.26091636657715,0.18089252710342407,0.0,51.26091636657715,50.060272216796875,50.060272216796875,0.3176103089749813,0.001,4.681752333641052,4200,4.693020343780518
-1114.7799434868423,15200,76,200.0,462,32,55.887652244567875,0.7398691177368164,0.0,55.887652244567875,64.47525024414062,64.47525024414062,0.48180221535265444,0.001,3.9956888246536253,5000,4.033958911895752
-1071.0978873625002,16000,80,200.0,423,37,59.92684734344483,0.4625265598297119,0.0,59.92684734344483,58.634910583496094,58.634910583496094,0.481924442127347,0.001,3.489401752948761,5800,3.4254467487335205
-1029.81431425,16800,84,200.0,393,42,62.18657917022705,0.55303555727005,0.0,62.18657917022705,61.3101921081543,61.3101921081543,0.7520872858166695,0.001,2.8459198451042176,6600,2.8260202407836914
-987.2418923636363,17600,88,200.0,369,47,63.70103244781494,0.7808350324630737,0.0,63.70103244781494,62.545082092285156,62.545082092285156,0.7861072213947773,0.001,2.414632709026337,7400,2.506624460220337
-950.9059660652174,18400,92,200.0,349,52,65.73563018798828,0.8225599527359009,0.0,65.73563018798828,62.10124969482422,62.10124969482422,1.0630817334353924,0.001,2.074384402036667,8200,1.9274123907089233
-919.4368154999999,19200,96,200.0,333,57,66.1844892501831,0.6673915386199951,0.0,66.1844892501831,61.09495544433594,61.09495544433594,1.2873553149402142,0.001,1.979967679977417,9000,2.140317916870117
-889.9804010599998,20000,100,200.0,320,62,66.58527156829834,1.3977798223495483,0.0,66.58527156829834,71.09365844726562,71.09365844726562,1.5452415987849235,0.001,1.9619160866737366,9800,1.874680757522583
-854.29359968,20800,104,200.0,309,67,67.10274436950684,2.940737724304199,0.0,67.10274436950684,65.50679779052734,65.50679779052734,1.7937768119573594,0.001,2.0368220794200895,10600,2.1661672592163086
-816.5886226399999,21600,108,200.0,299,72,66.51247360229492,3.8130502700805664,0.0,66.51247360229492,63.5356330871582,63.5356330871582,2.0058361460268497,0.001,2.0432686841487886,11400,2.0922677516937256
-765.7056261899999,22400,112,200.0,290,77,65.64442729949951,3.975802421569824,0.0,65.64442729949951,58.802459716796875,58.802459716796875,2.5742987072467804,0.001,2.1583622789382932,12200,2.3830173015594482
-715.8415613100001,23200,116,200.0,282,81,65.88657913208007,3.601771831512451,0.0,65.88657913208007,49.55859375,49.55859375,2.697852925956249,0.001,2.411613051891327,13000,2.150167465209961
-676.7349236500002,24000,120,200.0,276,86,64.53016319274903,1.2979363203048706,0.0,64.53016319274903,61.65008544921875,61.65008544921875,2.889987461864948,0.001,2.478384268283844,13800,2.754258394241333
-623.37839483,24800,124,200.0,270,91,64.54236362457276,1.9926046133041382,0.0,64.54236362457276,75.16789245605469,75.16789245605469,3.419670855998993,0.001,2.709692152738571,14600,1.7468395233154297
-578.8089087,25600,128,200.0,264,96,64.3197518157959,3.276136636734009,0.0,64.3197518157959,68.64254760742188,68.64254760742188,3.1040216225385664,0.001,2.4705319368839262,15400,2.8775475025177
-532.49821774,26400,132,200.0,259,101,64.10026371002198,1.8933830261230469,0.0,64.10026371002198,70.73534393310547,70.73534393310547,3.21085369348526,0.001,2.3494016289711,16200,2.1108720302581787
-492.74799888999996,27200,136,200.0,255,106,61.60711109161377,2.6559031009674072,0.0,61.60711109161377,73.7578125,73.7578125,3.044091441333294,0.001,2.638230746984482,17000,2.2834975719451904
-444.80107046999996,28000,140,200.0,251,111,59.01078903198242,2.7570929527282715,0.0,59.01078903198242,53.47043228149414,53.47043228149414,3.5057573074102404,0.001,2.1354260563850405,17800,2.049377918243408
-402.7892991800001,28800,144,200.0,247,116,59.026151504516605,3.449920892715454,0.0,59.026151504516605,60.16490936279297,60.16490936279297,3.358782264590263,0.001,1.9498635351657867,18600,2.4023542404174805
-355.09174638,29600,148,200.0,243,121,59.40567207336426,5.484743118286133,0.0,59.40567207336426,45.64057540893555,45.64057540893555,3.635958631336689,0.001,2.3067243981361387,19400,2.219208240509033
-311.09037827,30400,152,200.0,240,126,57.0029891204834,4.542297840118408,0.0,57.0029891204834,60.56370162963867,60.56370162963867,4.374354493021965,0.001,1.9871477377414704,20200,2.1776063442230225
-255.46129288,31200,156,200.0,237,131,56.37835586547852,2.5667357444763184,0.0,56.37835586547852,61.81401062011719,61.81401062011719,3.4786536103487014,0.001,2.2302596163749695,21000,1.9751464128494263
-204.87399515999994,32000,160,200.0,234,136,54.89163505554199,2.5272679328918457,0.0,54.89163505554199,63.25872039794922,63.25872039794922,3.9593482959270476,0.001,1.9117366397380828,21800,1.62806236743927
-167.41119405,32800,164,200.0,232,141,55.04135082244873,2.2688798904418945,0.0,55.04135082244873,59.69882583618164,59.69882583618164,3.4114137434959413,0.001,1.9907851481437684,22600,1.8707276582717896
-148.3239381,33600,168,200.0,230,146,53.73839694976807,5.380573272705078,0.0,53.73839694976807,54.44500732421875,54.44500732421875,3.4210595527291296,0.001,2.217912132740021,23400,2.4969046115875244
-136.54975695000002,34400,172,200.0,227,151,53.07611660003662,2.548022747039795,0.0,53.07611660003662,46.93921661376953,46.93921661376953,3.6504756200313566,0.001,2.33083905339241,24200,1.9937703609466553
-135.22821111,35200,176,200.0,225,155,51.97612945556641,3.051163673400879,0.0,51.97612945556641,46.085662841796875,46.085662841796875,3.319713832437992,0.001,2.4013344192504884,25000,2.873102903366089
-132.8963097,36000,180,200.0,223,160,50.95139743804932,4.754712104797363,0.0,50.95139743804932,57.11240005493164,57.11240005493164,3.717783819437027,0.001,2.07944846868515,25800,1.7122015953063965
-128.43621568999998,36800,184,200.0,221,165,50.77173614501953,3.3296539783477783,0.0,50.77173614501953,49.20735549926758,49.20735549926758,3.560593378543854,0.001,2.876109569072723,26600,3.3220794200897217
-129.78556487999998,37600,188,200.0,220,170,49.73993103027344,5.325850009918213,0.0,49.73993103027344,53.52827453613281,53.52827453613281,3.386138027906418,0.001,2.839311264753342,27400,1.962099313735962
-131.10772418999997,38400,192,200.0,218,175,49.67701488494873,6.145056247711182,0.0,49.67701488494873,48.35763931274414,48.35763931274414,3.7140936586260795,0.001,2.413956881761551,28200,2.6573004722595215
-131.97951217,39200,196,200.0,216,180,48.40488311767578,2.5127625465393066,0.0,48.40488311767578,48.84274673461914,48.84274673461914,2.9986278995871545,0.001,2.8728597819805146,29000,2.0656917095184326
-129.30948030999997,40000,200,200.0,215,185,47.82985099792481,1.4696242809295654,0.0,47.82985099792481,58.38325881958008,58.38325881958008,3.1233553862571717,0.001,2.4480506670475006,29800,3.4880504608154297
-130.59220360999998,40800,204,200.0,214,190,45.5483056640625,1.4350075721740723,0.0,45.5483056640625,52.93373489379883,52.93373489379883,3.5958846366405486,0.001,1.9229168677330017,30600,2.2362473011016846
-133.0063704,41600,208,200.0,212,195,44.869997081756594,1.8733761310577393,0.0,44.869997081756594,35.98121643066406,35.98121643066406,3.3638039046525954,0.001,2.2065219843387602,31400,2.107567310333252
-134.06393554,42400,212,200.0,211,200,46.19674959182739,4.672863006591797,0.0,46.19674959182739,47.88607406616211,47.88607406616211,3.6371773266792298,0.001,2.346249129772186,32200,1.6905392408370972
-135.23459073,43200,216,200.0,210,205,44.676859550476074,2.2324392795562744,0.0,44.676859550476074,39.56059265136719,39.56059265136719,3.4795382833480835,0.001,4.29754130601883,33000,4.62180233001709
-139.01208698,44000,220,200.0,209,210,43.634313621520995,6.29758358001709,0.0,43.634313621520995,46.376625061035156,46.376625061035156,4.011196649968624,0.001,2.4254538083076476,33800,2.919844627380371
-142.88861313,44800,224,200.0,208,215,42.95019191741943,1.7532188892364502,0.0,42.95019191741943,44.67283248901367,44.67283248901367,3.333357314765453,0.001,3.6861438870429994,34600,2.5945851802825928
-142.94227615,45600,228,200.0,207,220,43.85412158966064,3.081697702407837,0.0,43.85412158966064,45.01348876953125,45.01348876953125,3.876320657432079,0.001,3.03080677986145,35400,2.8970658779144287
-145.78906650000002,46400,232,200.0,206,225,42.69262121200561,4.574499607086182,0.0,42.69262121200561,40.0787353515625,40.0787353515625,3.355266387760639,0.001,3.0328008341789245,36200,2.8199572563171387
-149.31666450999998,47200,236,200.0,205,230,41.850408477783205,5.782090187072754,0.0,41.850408477783205,41.2558479309082,41.2558479309082,4.345088896751403,0.001,2.5030715930461884,37000,3.10416579246521
-151.87453566,48000,240,200.0,204,234,41.51142423629761,5.893043518066406,0.0,41.51142423629761,41.21868896484375,41.21868896484375,3.063254343867302,0.001,3.199415521621704,37800,3.679487943649292
-152.01361244,48800,244,200.0,203,239,41.58800527572632,1.575141191482544,0.0,41.58800527572632,50.46294021606445,50.46294021606445,2.76046399474144,0.001,3.1174095940589903,38600,3.0433948040008545
-154.93662856999998,49600,248,200.0,202,244,40.649889888763425,3.329977512359619,0.0,40.649889888763425,50.15869903564453,50.15869903564453,2.5968463215231896,0.001,3.232016179561615,39400,3.011075258255005
-152.31942808,50400,252,200.0,201,249,40.19568702697754,2.8956894874572754,0.0,40.19568702697754,31.602426528930664,31.602426528930664,2.7052167946100236,0.001,3.161802656650543,40200,3.216020345687866
-152.88390248,51200,256,200.0,201,254,41.12913274765015,7.80881929397583,0.0,41.12913274765015,39.81401824951172,39.81401824951172,3.3498754966259003,0.001,2.853511688709259,41000,2.6607983112335205
-153.56212102,52000,260,200.0,200,259,39.443319149017334,4.854172229766846,0.0,39.443319149017334,36.55950164794922,36.55950164794922,2.787541933953762,0.001,2.918838663101196,41800,3.141097068786621
-149.27163155,52800,264,200.0,199,264,39.0430486869812,5.47658634185791,0.0,39.0430486869812,37.460304260253906,37.460304260253906,3.1959766429662704,0.001,2.4696540701389313,42600,2.5346574783325195
-148.3563299,53600,268,200.0,198,269,39.34630876541138,3.240429162979126,0.0,39.34630876541138,32.33445358276367,32.33445358276367,2.97740273848176,0.001,2.5917319011688233,43400,2.4673776626586914
-146.95623528,54400,272,200.0,198,274,37.17066947937012,0.3774647116661072,0.0,37.17066947937012,28.80922508239746,28.80922508239746,3.276641389429569,0.001,2.8844125175476076,44200,3.5578343868255615
-149.37203017,55200,276,200.0,197,279,37.708089962005616,1.2203768491744995,0.0,37.708089962005616,34.43466567993164,34.43466567993164,3.5625969839096068,0.001,2.9789665031433104,45000,2.7870874404907227
-149.23653865999998,56000,280,200.0,197,284,38.10795948028564,2.158872604370117,0.0,38.10795948028564,25.77256202697754,25.77256202697754,3.016098237633705,0.001,2.860444105863571,45800,1.7322978973388672
-151.85482706,56800,284,200.0,196,289,37.76129913330078,0.9373350143432617,0.0,37.76129913330078,44.929931640625,44.929931640625,2.7516136452555657,0.001,2.85201952457428,46600,2.732274055480957
-152.86045748000004,57600,288,200.0,195,294,37.122979412078855,4.0927042961120605,0.0,37.122979412078855,31.52328109741211,31.52328109741211,3.0144746279716492,0.001,2.550385921001434,47400,2.5443978309631348
-150.2844505,58400,292,200.0,195,298,36.225686378479004,0.5767892599105835,0.0,36.225686378479004,27.041828155517578,27.041828155517578,2.921431617438793,0.001,2.444629808664322,48200,2.562432289123535
-145.36124729000002,59200,296,200.0,194,303,36.19527921676636,1.2918568849563599,0.0,36.19527921676636,42.42179489135742,42.42179489135742,3.0820768254995348,0.001,2.4104986596107483,49000,2.4653875827789307
-144.52820095000004,60000,300,200.0,194,308,36.19795719146728,1.557826042175293,0.0,36.19795719146728,36.558109283447266,36.558109283447266,2.9088170692324637,0.001,2.164994512796402,49800,1.8536213636398315
